Song Title,Artist,Album,Release Year,Genre,Lyrics
Crazy In Love,Beyoncé,Dangerously in Love,2003,R&B,"Yes (woo, ow)
It's so crazy right now
Most incredibly, it's ya girl, B (yes)
It's ya boy, Young
You ready?Uh oh, uh oh, uh oh, oh, no, no (ow)
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no (yeah)History in the making
Part two, it's so crazy right nowI look and stare so deep in your eyes
I touch on you more and more every time
When you leave, I'm begging you not to go
Call your name two, three times in a row
Such a funny thing for me to try to explain
How I'm feeling and my pride is the one to blame
(Yeah, yeah) 'cause I know I don't understand
Just how your love can do what no one else canGot me looking so crazy right now, your love's
Got me looking so crazy right now (your love)
Got me looking so crazy right now, your touch
Got me looking so crazy right now (your touch)
Got me hoping you'll page me right now, your kiss
Got me hoping you'll save me right now
Looking so crazy, your love's
Got me looking, got me looking so crazy in loveUh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, noWhen I talk to my friends so quietly
Who he think he is? Look at what you did to me
Tennis shoes, don't even need to buy a new dress
If you ain't there, ain't nobody else to impress
It's the way that you know what I thought I knew
It's the beat that my heart skips when I'm with you
But I still don't understand
Just how your love can do what no one else canGot me looking so crazy right now, your love's
Got me looking so crazy right now (so crazy)
Got me looking so crazy right now, your touch (your love)
Got me looking so crazy right now (love)
Got me hoping you'll page me right now, your kiss (hey)
Got me hoping you'll save me right now (hey)
Looking so crazy, your love's (hey)
Got me looking, got me looking so crazy in love
I'm looking so crazy in love's
Got me looking, got me looking so crazy in love (I'm warmed up now, let's go)Young 'Hov, y'all know when the flow is loco
Young B and the R-O-C, uh oh (oh)
Ol' G, big homey, the one and only
Stick bony, but the pocket is fat like Tony Soprano (oh no)
The ROC handle like Van Axel
I shake phonies, man, you can't get next to
The genuine article, I do not sing though
I sling though, if anything, I bling yo
A star like Ringo, war like a Green Beret
Crazy bring ya whole set
Jay Z in the Range, crazy and deranged
They can't figure him out, they like, ""Hey, is he insane?""
Yessir, I'm cut from a different cloth
My texture is the best fur, chinchilla
(Uh oh, uh oh, uh oh, oh, no, no) I been iller than chain smokers
How you think I got the name Hova?
(Uh oh, uh oh, uh oh, oh, no, no) I been realer, the game's over
(Uh oh, uh oh, uh oh, oh, no, no) fall back, Young, ever since I made the change over
(Uh oh, uh oh, uh oh, oh, no, no) to platinum the game's been wrap, oneGot me looking so crazy, my baby
I'm not myself, lately I'm foolish, I don't do this
I've been playing myself, baby, I don't care
'Cause your love's got the best of me
And, baby, you're making a fool of me
You got me sprung and I don't care who sees
'Cause, baby, you got me
Baby, you got me (you got me so crazy, baby), heyGot me looking so crazy right now, your love's (oh love)
Got me looking so crazy right now (lookin' crazy)
Got me looking so crazy right now, your touch
Got me looking so crazy right now (baby)
Got me hoping you'll page me right now, your kiss (hey)
Got me hoping you'll save me right now (oh)
Looking so crazy in love's (hey)
Got me looking, got me looking so crazy in love (whoa)Got me looking so crazy right now, your love's
Got me looking so crazy right now (your love)
Got me looking so crazy right now, your touch
Got me looking so crazy right now (your touch)
Got me hoping you'll page me right now, your kiss
Got me hoping you'll save me right now
Looking so crazy in love's
Got me looking, got me looking so crazy in love"
Sweet Child o' Mine,Guns N' Roses,Appetite for Destruction,1987,Hard Rock,"She's got a smile that it seems to me
Reminds me of childhood memories
Where everything was as fresh as the bright blue sky
Now and then when I see her face
She takes me away to that special place
And if I stare too long, I'd probably break down and cryWhoa, oh, oh
Sweet child o' mine
Whoa, oh, oh, oh
Sweet love of mineShe's got eyes of the bluest skies
As if they thought of rain
I'd hate to look into those eyes and see an ounce of pain
Her hair reminds me of a warm safe place
Where as a child I'd hide
And pray for the thunder and the rain to quietly pass me byWhoa, oh, oh
Sweet child o' mine
Whoa whoa, oh, oh, oh
Sweet love of mineWhoa, yeah
Whoa, oh, oh, oh
Sweet child o' mine
Whoa, oh, whoa, oh
Sweet love of mine
Whoa, oh, oh, oh
Sweet child o' mine
Ooh, yeah
Ooh, sweet love of mineWhere do we go?
Where do we go now?
Where do we go?
Ooh, oh, where do we go?
Where do we go now?
Oh, where do we go now?
Where do we go? (Sweet child)
Where do we go now?
Ay, ay, ay, ay, ay, ay, ay, ay
Where do we go now?
Ah, ahWhere do we go?
Oh, where do we go now?
Oh, where do we go?
Oh, where do we go now?
Where do we go?
Oh, where do we go now?
Now, now, now, now, now, now, now
Sweet child
Sweet child of mine"
Stairway to Heaven,Led Zeppelin,Led Zeppelin IV,1971,Rock,"There's a lady who's sure all that glitters is gold
And she's buying a stairway to HeavenWhen she gets there she knows, if the stores are all closed
With a word she can get what she came forOoh, ooh, and she's buying a stairway to HeavenThere's a sign on the wall, but she wants to be sure
'Cause you know sometimes words have two meaningsIn a tree by the brook, there's a songbird who sings
Sometimes all of our thoughts are misgivenOoh, it makes me wonder
Ooh, makes me wonderThere's a feeling I get when I look to the West
And my spirit is crying for leavingIn my thoughts I have seen rings of smoke through the trees
And the voices of those who stand lookingOoh, it makes me wonder
Ooh, really makes me wonderAnd it's whispered that soon if we all call the tune
Then the piper will lead us to reasonAnd a new day will dawn for those who stand long
And the forests will echo with laughterOh-oh-oh-oh-whoaIf there's a bustle in your hedgerow, don't be alarmed now
It's just a spring clean for the May queen
Yes, there are two paths you can go by, but in the long run
There's still time to change the road you're onAnd it makes me wonder
Ohh, whoaYour head is humming, and it won't go, in case you don't know
The piper's calling you to join himDear lady, can you hear the wind blow? And did you know
Your stairway lies on the whispering wind?And as we wind on down the road
Our shadows taller than our soul
There walks a lady we all know
Who shines white light and wants to show
How everything still turns to gold
And if you listen very hard
The tune will come to you at last
When all are one, and one is all
To be a rock and not to rollAnd she's buying a stairway to Heaven"
Thriller,Michael Jackson,Thriller,1982,Pop Funk,"It's close to midnight 
And something evil's lurking in the dark
Under the moonlight 
You see a sight that almost stops your heart
You try to scream
But terror takes the sound before you make it
You start to freeze 
As horror looks you right between the eyes
You're paralyzed'Cause this is thriller, thriller night
And no one's gonna save you from the beast about to strike
You know it's thriller, thriller night
You're fighting for your life inside a killer, thriller tonight, yeahOoh, ooh
You hear the door slam 
And realize there's nowhere left to run
You feel the cold hand 
And wonder if you'll ever see the sun
You close your eyes 
And hope that this is just imagination
Girl, but all the while 
You hear a creature creepin' up behind
You're out of time'Cause this is thriller, thriller night
There ain't no second chance against the thing with forty eyes, girl
Thriller, thriller night
You're fighting for your life inside a killer, thriller tonightNight creatures call
And the dead start to walk in their masquerade
There's no escaping the jaws of the alien this time (they're open wide)
This is the end of your life, oohThey're out to get you
There's demons closin' in on every side
They will possess you 
Unless you change that number on your dial
Now is the time 
For you and I to cuddle close together, yeah
All through the night 
I'll save you from the terror on the screen
I'll make you seeThat this is thriller, thriller night
'Cause I can thrill you more than any ghoul would ever dare try
Thriller, thriller night
So let me hold you tight and share a killer, thriller
Chiller, thriller here tonight
'Cause this is thriller, thriller night
Girl, I can thrill you more than any ghoul would ever dare try
Thriller, thriller night
So let me hold you tight and share a killer, thriller, owI'm gonna thrill you tonight
Darkness falls across the land
The midnight hour is close at hand
Creatures crawl in search of blood
To terrorize y'all's neighborhood (I'm gonna thrill you tonight)
And whosoever shall be found
Without the soul for getting down
Must stand and face the hounds of hell
And rot inside a corpse's shellI'm gonna thrill you tonight
Thriller, ooh baby (thriller)
I'm gonna thrill you tonight (thriller night)
Thriller, all night, oh baby
I'm gonna thrill you tonight
Thriller, thriller night (oh baby)
I'm gonna thrill you tonight
Thriller, all night (oh baby)
Thriller night, babe (thriller night, babe), oohThe foulest stench is in the air
The funk of forty thousand years
And grizzly ghouls from every tomb
Are closing in to seal your doom
And though you fight to stay alive
Your body starts to shiver
For no mere mortal can resist
The evil of the thriller"
Livin' on a Prayer,Bon Jovi,Slippery When Wet,1986,Rock,"Once upon a time, not so long agoTommy used to work on the docks, union's been on strike
He's down on his luck, it's tough, so tough
Gina works the diner all day, working for her man
She brings home her pay, for love, mmm, for loveShe says, ""We've gotta hold on to what we've got
It doesn't make a difference if we make it or not
We've got each other and that's a lot for love
We'll give it a shot""Whoa, we're half way there
Whoa oh, livin' on a prayer
Take my hand, we'll make it, I swear
Whoa oh, livin' on a prayerTommy's got his six string in hock, now he's holding in
When he used to make it talk so tough, ooh, it's tough
Gina dreams of running away
When she cries in the night, Tommy whispers
""Baby, it's okay, someday""We've gotta hold on to what we've got
It doesn't make a difference if we make it or not
We've got each other and that's a lot for love
We'll give it a shotWhoa, we're half way there
Whoa oh, livin' on a prayer
Take my hand, we'll make it I swear
Whoa oh, livin' on a prayer
Livin' on a prayerOh, we've gotta hold on, ready or not
You live for the fight when that's all that you've gotWhoa, we're half way there
Whoa oh, livin' on a prayer
Take my hand and we'll make it, I swear
Whoa oh, livin' on a prayerWhoa, we're half way there
Whoa oh, livin' on a prayer
Take my hand and we'll make it, I swear
Whoa oh, livin' on a prayerWhoa, we're half way there
Whoa oh, livin' on a prayer
Take my hand and we'll make it, I swear
Whoa oh"
Wonderwall,Oasis,(What's the Story) Morning Glory?,1995,Alternative Rock,"Today is gonna be the day that they're gonna throw it back to you
And by now, you should've somehow realised what you gotta do
I don't believe that anybody feels the way I do about you nowAnd backbeat, the word is on the street that the fire in your heart is out
I'm sure you've heard it all before, but you never really had a doubt
I don't believe that anybody feels the way I do about you nowAnd all the roads we have to walk are winding
And all the lights that lead us there are blinding
There are many things that I would like to say to you, but I don't know howBecause maybe
You're gonna be the one that saves me
And after all
You're my wonderwallToday was gonna be the day, but they'll never throw it back to you
And by now, you should've somehow realised what you're not to do
I don't believe that anybody feels the way I do about you nowAnd all the roads that lead you there were winding
And all the lights that light the way are blinding
There are many things that I would like to say to you, but I don't know howI said maybe
You're gonna be the one that saves me
And after all
You're my wonderwallI said maybe (I said maybe)
You're gonna be the one that saves me
And after all
You're my wonderwallI said maybe (I said maybe)
You're gonna be the one that saves me (saves me)
You're gonna be the one that saves me (saves me)
You're gonna be the one that saves me (saves me)"
Yesterday,The Beatles,Help!,1965,Rock,"Yesterday all my troubles seemed so far away.


Now it looks as though they're here to stay.


Oh, I believe in yesterday.




Suddenly, I'm not half the man I used to be.


There's a shadow hanging over me.


Oh, yesterday came suddenly.




Why she had to go?


I don't know, she wouldn't say.


I said something wrong.


Now I long for yesterday.




Yesterday love was such an easy game to play.


Now I need a place to hide away.


Oh, I believe in yesterday.




Why she had to go?


I don't know, she wouldn't say.


I said something wrong.


Now I long for yesterday.




Yesterday love was such an easy game to play.


Now I need a place to hide away.


Oh, I believe in yesterday.




Mm mm mm mm mm mm mm"
Like a Prayer,Madonna,Like a Prayer,1989,Pop Dance-pop,"Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like homeWhen you call my name, it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour, I can feel your power
Just like a prayer, you know I'll take you thereI hear your voice
It's like an angel sighin'
I have no choice
I hear your voice
Feels like flyingI close my eyes
Oh God I think I'm fallin'
Out of the sky
I close my eyes
Heaven help meWhen you call my name, it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour, I can feel your power
Just like a prayer, you know I'll take you thereLike a child
You whisper softly to me
You're in control
Just like a child
Now I'm dancingIt's like a dream
No end and no beginning
You're here with me
It's like a dream
Let the choir singWhen you call my name, it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour, I can feel your power
Just like a prayer, you know I'll take you thereWhen you call my name, it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour, I can feel a power
Just like a prayer, you know I'll take you thereLife is a mystery
Everyone must stand alone
I hear you call my name
And it feels like homeJust like a prayer (oh-oh), your voice can take me there (oh-oh)
Just like a muse to me (oh-oh), you are a mystery (oh-oh)
Just like a dream (oh-oh), you are not what you seem
Just like a prayer, no choice your voice can take me theremmm mm
(Just like a prayer, I'll take you there) I'll take you there
(It's like a dream to me) whoa oh-oh-oh
(Just like a prayer, I'll take you there) I'll take you there
(It's like a dream to me) oh yeah, oh yeah yeah yeah yeah
(Just like a prayer, I'll take you there) oh yeah yeah yee
(It's like a dream to me) whoa oh-ohJust like a prayer, your voice can take me there (just like a prayer)
Just like a muse to me, you are a mystery (your voice can take me there)
Just like a dream, you are not what you seem (just like a prayer)
Just like a prayer, no choice your voice can take me thereJust like a prayer, your voice can take me there (just like a prayer)
Just like a muse to me, you are a mystery (your voice can take me there)
Just like a dream, you are not what you seem (just like a prayer)
Just like a prayer, no choice your voice can take me thereyour voice can take me there
(Your voice can take me there) just like a prayer
(Just like a prayer)
(Just like a prayer)
(Your voice can take me there)
(Just like a prayer)
(Just like a prayer)
(Your voice can take me there)
(Just like a prayer)"
November Rain,Guns N' Roses,Use Your Illusion I,1991,Rock,"When I look into your eyes
I can see a love restrained
But darlin' when I hold you
Don't you know I feel the same?Nothin' lasts forever
And we both know hearts can change
And it's hard to hold a candle
In the cold November rainWe've been through this such a long long time
Just tryin' to kill the pain, ooh yeah
Love is always coming, love is always going
No one's really sure who's lettin' go today
Walking awayIf we could take the time to lay it on the line
I could rest my head just knowin' that you were mine
All mine
So if you want to love me then darlin' don't refrain
Or I'll just end up walkin' in the cold November rainDo you need some time on your own?
Do you need some time all alone?
Ooh, everybody needs some time on their own
Ooh, don't you know you need some time all aloneI know it's hard to keep an open heart
When even friends seem out to harm you
But if you could heal a broken heart
Wouldn't time be out to charm you?
Oh, oh, ohSometimes I need some time on my own
Sometimes I need some time all alone
Ooh, everybody needs some time on their own
Ooh, don't you know you need some time all aloneAnd when your fears subside
And shadows still remain, oh yeah
I know that you can love me when there's no one left to blame
So never mind the darkness, we still can find a way
'Cause nothin' lasts forever, even cold November rainDon't ya think that you need somebody?
Don't ya think that you need someone?
Everybody needs somebody
You're not the only one
You're not the only oneDon't ya think that you need somebody?
Don't ya think that you need someone?
Everybody needs somebody
You're not the only one
You're not the only oneDon't ya think that you need somebody?
Don't ya think that you need someone?
Everybody needs somebody
You're not the only one
You're not the only oneDon't ya think that you need somebody?
Don't ya think that you need someone?
Everybody needs somebody"
Bohemian Rhapsody,Panic! at the Disco,Bohemian Rhapsody: The Original Soundtrack,2018,Pop Rock,"Is this the real life? Is this just fantasy?
Caught in a landslide, no escape from reality
Open your eyes, look up to the skies and see
I'm just a poor boy, I need no sympathy
Because I'm easy come, easy go, little high, little low
Any way the wind blows doesn't really matter to me, to meMama, just killed a man
Put a gun against his head, pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away
Mama, ooh, didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really mattersToo late, my time has come
Sends shivers down my spine, body's aching all the time
Goodbye, everybody, I've got to go
Gotta leave you all behind and face the truth
Mama, ooh (any way the wind blows)
I don't wanna die
I sometimes wish I'd never been born at allI see a little silhouetto of a man
Scaramouche, Scaramouche, will you do the Fandango?
Thunderbolt and lightning, very, very frightening me
(Galileo) Galileo, (Galileo) Galileo, Galileo Figaro, magnifico
But I'm just a poor boy, nobody loves me
He's just a poor boy from a poor family
Spare him his life from this monstrosityEasy come, easy go, will you let me go?
ب?س??? ٱ????ٰ??
No, we will not let you go (let him go)
ب?س??? ٱ????ٰ??
We will not let you go (let him go)
ب?س??? ٱ????ٰ??
We will not let you go (let me go)
Will not let you go (let me go)
Never, never, never, never let me go
No, no, no, no, no, no, noOh, mamma mia, mamma mia
Mamma mia, let me go
Beelzebub has a devil put aside for me, for me, for meSo you think you can stone me and spit in my eye?
So you think you can love me and leave me to die?
Oh, baby, can't do this to me, baby
Just gotta get out, just gotta get right outta hereOoh
Ooh, yeah, ooh, yeahNothing really matters, anyone can see
Nothing really matters
Nothing really matters to me"
Wannabe,Spice Girls,Spice,1996,Pop,"Ha ha ha ha ha 
Yo, I'll tell you what I want, what I really, really want
So tell me what you want, what you really, really want
I'll tell you what I want, what I really, really want
So tell me what you want, what you really, really want
I wanna, (ha) I wanna, (ha) I wanna, (ha) I wanna, (ha)
I wanna really, really, really wanna zigazig ahIf you want my future, forget my past
If you wanna get with me, better make it fast
Now don't go wasting my precious time
Get your act together we could be just fineI'll tell you what I want, what I really, really want
So tell me what you want, what you really, really want
I wanna, (ha) I wanna, (ha) I wanna, (ha) I wanna, (ha)
I wanna really, really, really wanna zigazig ah 
If you wanna be my lover, you gotta get with my friends
(Gotta get with my friends)
Make it last forever, friendship never ends
If you wanna be my lover, you have got to give
Taking is too easy, but that's the way it isOh, what do you think about that?
Now you know how I feel
Say you can handle my love, are you for real?
(Are you for real?)
I won't be hasty, I'll give you a try
If you really bug me then I'll say goodbyeYo, I'll tell you what I want, what I really, really want
So tell me what you want, what you really, really want
I wanna, (ha) I wanna, (ha) I wanna, (ha) I wanna, (ha)
I wanna really, really, really wanna zigazig ahIf you wanna be my lover, you gotta get with my friends
(Gotta get with my friends)
Make it last forever, friendship never ends
If you wanna be my lover, you have got to give
(You've got to give)
Taking is too easy, but that's the way it isSo, here's a story from A to Z
You wanna get with me, you gotta listen carefully
We got Em in the place who likes it in your face
You got G like MC who likes it on a
Easy V doesn't come for free, she's a real lady
And as for me, ha you'll seeSlam your body down and wind it all around
Slam your body down and wind it all aroundIf you wanna be my lover, you gotta get with my friends
(Gotta get with my friends)
Make it last forever, friendship never ends
If you wanna be my lover, you have got to give
(You've got to give)
Taking is too easy, but that's the way it isIf you wanna be my lover
You gotta, you gotta, you gotta, you gotta, you gotta
Slam, slam, slam, slam (make it last forever) Slam your body down and wind it all around
Slam your body down and wind it all around 
Ha, ha, ha, ha, ha 
Slam your body down and wind it all around
Slam your body down and zigazig ah
If you wanna be my lover"
Let It Be,The Beatles,Let It Be,1970,Rock,"When I find myself in times of trouble, Mother Mary comes to me
Speaking words of wisdom, let it be
And in my hour of darkness she is standing right in front of me
Speaking words of wisdom, let it beLet it be, let it be, let it be, let it be
Whisper words of wisdom, let it beAnd when the broken hearted people living in the world agree
There will be an answer, let it be
For though they may be parted, there is still a chance that they will see
There will be an answer, let it beLet it be, let it be, let it be, let it be
There will be an answer, let it beLet it be, let it be, let it be, let it be
Whisper words of wisdom, let it beLet it be, let it be, let it be, let it be
Whisper words of wisdom, let it be, beAnd when the night is cloudy there is still a light that shines on me
Shinin' until tomorrow, let it be
I wake up to the sound of music, Mother Mary comes to me
Speaking words of wisdom, let it beAnd let it be, let it be, let it be, let it be
Whisper words of wisdom, let it beAnd let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be"
Purple Haze,Jimi Hendrix,Are You Experienced,1967,Psychedelic Rock,"Purple haze, all in my brain
Lately things they don't seem the same
Actin' funny, but I don't know why
Excuse me while I kiss the skyPurple haze, all around
Don't know if I'm comin' up or down
Am I happy or in misery?
What ever it is, that girl put a spell on meHelp me
Help me
Oh, no, noOoh, ah
Ooh, ah
Ooh, ah
Ooh, ah, yeah!Purple haze all in my eyes
Don't know if it's day or night
You got me blowin', blowin' my mind
Is it tomorrow, or just the end of time?Ooh
Help me
Ahh, yeah, yeah, purple haze
Oh, no, oh
Oh, help me
Tell me, tell me, purple haze
I can't go on like this
(Purple haze) you're makin' me blow my mind
Purple haze, n-no, no
(Purple haze)"
Wonderwall,Ryan Adams,Love Is Hell,2003,Alternative Rock,"Today is gonna be the day
That they're gonna give it back to you
By now you should've somehow
Realized what you gotta do
I don't believe that anybody
Feels the way I do about you nowBack beat the word was on the street
That the fire in your heart is out
And I'm sure you've heard it all before
But you never really had a doubt
I don't believe that anybody feels
The way I do about you nowAnd all the roads we have to walk are winding
And all the lights that lead the way are blinding
There are many things that I would
Like to say to you
But I don't know howI said maybe
You're gonna be the one who saves me?
And after all
You're my wonderwallToday was gonna be the day
But they'll never bring it back to you
By now you should've somehow
Realized what you got to do
I don't believe that anybody
Feels the way I do
About you nowAnd all the roads that we have to walk are winding
And all the lights that lead the way are blinding
There are many things that I would like to say to you
But I don't know howI said maybe
You're gonna be the one that saves me?
You're gonna be the one that saves me
And after all
You're my wonderwall
You're my wonderwall
You're my wonderwall
You're my wonderwall"
Satisfaction,The Rolling Stones,Out of Our Heads,1965,Rock,"I can't get no satisfaction
I can't get no satisfaction
'Cause I try, and I try, and I try, and I try
I can't get no, I can't get noWhen I'm driving in my car
When a man come on the radio
He's telling me more and more 
About some useless information
Supposed to fire my imaginationI can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no satisfaction
I can't get no satisfaction
'Cause I try, and I try, and I try, and I try
I can't get no, I can't get noWhen I'm watchin' my TV 
And a man comes on and tells me
How white my shirts can be
But, he can't be a man 'cause he doesn't smoke
The same cigarettes as meI can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no satisfaction
I can't get no girl reaction
'Cause I try, and I try, and I try, and I try
I can't get no, I can't get noWhen I'm ridin' 'round the world
And I'm doin' this and I'm signin' that
And I'm tryin' to make some girl, who tells me
Baby, better come back maybe next week
Can't you see I'm on a losing streak?
I can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no, I can't get no
I can't get no satisfaction, no satisfaction
No satisfaction, no satisfaction
I can't get no"
Hey Ya!,Outkast,Speakerboxxx/The Love Below,2003,Funk,"One, two, three, uhMy baby don't mess around
Because she loves me so
And this I know fo sho (uh)
But does she really wanna
But can't stand to see me walk out the door? (Ah)
Don't try to fight the feeling
Because the thought alone is killin' me right now (uh)
Thank God for Mom and Dad
For sticking two together
'Cause we don't know how (c'mon)Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!You think you've got it
Oh, you think you've got it
But got it just don't get it 'til there's nothin' at all
We get together
Oh, we get together
But separate's always better when there's feelings involved
If what they say is
""Nothing is forever""
Then what makes, then what makes
Then what makes, then what makes (what makes, what makes)
Love the exception?
So why, oh, why, oh
Why, oh, why, oh, why, oh
Are we so in denial when we know we're not happy here?
(Y'all don't want to hear me, you just want to dance)Hey ya! (Uh oh) Hey ya! (Uh oh)
Don't want to meet your daddy
Hey ya! (Uh oh)
Just want you in my Caddy (Uh oh)
Hey ya! (Uh oh)
Don't want to meet your mama
Hey ya! (Uh oh)
Just want to make you cum-a (Uh oh)
Hey ya! (Uh oh)
I'm, I'm, I'm just being honest (Uh oh)
I'm just being honestHey! Alright now
Alright now, fellas (Yeah?)
Now, what cooler than being cool? (Ice cold!)
I can't hear you
I say what's, what's cooler than being cool? (Ice cold!) Alright, alright, alright, alright, alright
Alright, alright, alright, alright, alright
Alright, alright, alright, alrightOkay, now ladies (Yeah?)
Now, we gon' break this thang down in just a few seconds
Now, don't have me break this thang down for nothin'
Now, I want to see y'all on y'all baddest behavior
Lend me some sugar, I am your neighbor
Ah! Here we goShake it, shake, shake it, shake it, shake, shake it (Uh oh)
Shake it, shake, shake it, shake it, shake it (Uh oh)
Shake it like a Polaroid picture, hey ya!Shake it, shake, shake it, shake it, shake, shake it
Shake it, shake it, shake it, sugar
Shake it like a Polaroid pictureNow, all Beyonce's, and Lucy Liu's
And baby dolls
Get on the floorGet on the floor, you know what to do
You know what to do
You know what to doHey ya! (Uh oh) Hey ya! (Uh oh)
Hey ya! (Uh oh) Hey ya! (Uh oh)
Hey ya! (Uh oh) Hey ya! (Uh oh)
Hey ya! (Uh oh) Hey ya! (Uh oh)"
Hallelujah,Jeff Buckley,Grace,1994,Alternative Rock,"I heard there was a secret chord
That David played and it pleased the Lord
But you don't really care for music, do you?Well it goes like this the fourth, the fifth
The minor fall and the major lift
The baffled king composing HallelujahHallelujah
Hallelujah
HallelujahHallelujahWell your faith was strong but you needed proofYou saw her bathing on the roof
Her beauty and the moonlight overthrew you
She tied you to her kitchen chairShe broke your throne and she cut your hair
And from your lips, she drew the Hallelujah
HallelujahHallelujah
Hallelujah
HallelujahBaby, I've been here before
I've seen this room and I've walked this floorYou know, I used to live alone before I knew you
And I've seen your flag on the marble arch
And Love is not a victory marchIt's a cold and it's a broken Hallelujah
Hallelujah
Hallelujah
Hallelujah
HallelujahWell, there was a time when you let me know
What's really going on below
But now you never show that to me, do you?
But remember, when I moved in you
And the holy dove was moving too
And every breath, we drew was Hallelujah
Hallelujah
Hallelujah
Hallelujah
HallelujahMaybe there's a God above
But, all I've ever learned from love
Was how to shoot somebody who outdrew you?
And it's not a cry, that you hear at night
It's not somebody, who's seen the light
It's a cold and it's a broken HallelujahHallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah"
Take On Me,a-ha,Hunting High and Low,1984,Synth-pop,"We're talking away
I don't know what I'm to say
I'll say it anyway
Today is another day to find you
Shyin' away
Oh, I'll be comin' for your love, okayTake on me
(Take on me)
Take me on
(Take on me)
I'll be gone
In a day or twoSo needless to say
I'm odds and ends
But I'll be stumblin' away
Slowly learnin' that life is okay
Say after me
It's no better to be safe than sorryTake on me
(Take on me)
Take me on
(Take on me)
I'll be gone
In a day or twoAll the things that you say, yeah
Is it life or just to play my worries away?
You're all the things I've got to remember
You're shyin' away
I'll be comin' for you anywayTake on me
(Take on me)
Take me on
(Take on me)
I'll be gone
In a day
(Take on me)
(Take on me)
(Take me on)
(Take on me)
I'll be gone
(Take on me)
In a day
(Take me on)
(Take on me)
(Take on me)
(Take on me)
(Take me on)
(Take on me)"
Blinding Lights,The Weeknd,After Hours,2019,Pop R&B,"YeahI've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, babyI look around and
Sin City's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're goneI said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
(Hey, hey, hey)I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, ohThe city's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're goneI said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trustI'm just walking by to let you know (by to let you know)
I can never say it on the phone (say it on the phone)
Will never let you go this time (ooh)I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
(Hey, hey, hey)I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch"
Dancing Queen,ABBA,Arrival,1976,Pop Disco,"Ooh
You can dance
You can jive
Having the time of your life
Ooh, see that girl
Watch that scene
Digging the dancing queenFriday night and the lights are low
Looking out for a place to go
Where they play the right music
Getting in the swing
You come to look for a king
Anybody could be that guy
Night is young and the music's high
With a bit of rock music
Everything is fine
You're in the mood for a dance
And when you get the chanceYou are the dancing queen
Young and sweet
Only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance
You can jive
Having the time of your life
Ooh, see that girl
Watch that scene
Digging the dancing queenYou're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another
Anyone will do
You're in the mood for a dance
And when you get the chanceYou are the dancing queen
Young and sweet
Only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance
You can jive
Having the time of your life
Ooh, see that girl
Watch that scene
Digging the dancing queen
Digging the dancing queen"
